2,颈前摆,255,1,3,0.000001,-0.008844,0.497200,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-0.000000,-0.013000,0.000000
3,颈旋转,4,2,0,0.000001,-0.008844,0.454200,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-0.000000,-0.013000,0.000000
4,右大臂前摆,8,5,0,0.000001,-0.072044,0.454200,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-0.000000,-0.013000,0.000000
5,右大臂侧摆,255,6,4,0.000001,-0.121344,0.454200,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-0.000000,-0.013000,0.000000
6,右臂肘前摆,255,7,5,0.000001,-0.121344,0.345100,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-0.000000,-0.013000,0.000000
7,右手端,255,255,6,0.000001,-0.121344,0.205100,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-0.000000,-0.013000,0.000000
8,左大臂前摆,12,9,0,0.000001,0.054356,0.454200,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-0.000000,-0.013000,0.000000
9,左大臂侧摆,255,10,8,0.000001,0.103656,0.454200,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-0.000000,-0.013000,0.000000
10,左臂肘前摆,255,11,9,0.000001,0.103656,0.345100,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-0.000000,-0.013000,0.000000
11,左手端,255,255,10,0.000001,0.103656,0.205100,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-0.000000,-0.013000,0.000000
12,右髋前摆,19,13,0,0.000001,-0.061644,0.300000,0.941100,0.000000,-0.338129,0.000000,1.000000,0.000000,0.338129,0.000000,0.941100,-0.344928,-0.000000,-0.013000,0.000000
13,右髋侧摆,255,14,12,0.000001,-0.061644,0.300000,0.941100,0.004195,-0.338103,0.000000,0.999923,0.012408,0.338129,-0.011677,0.941027,-0.012408,-0.000000,-0.013000,0.000000
14,右髋旋转,255,15,13,0.036922,-0.062999,0.197240,0.941109,0.000000,-0.338103,0.004457,0.999913,0.012408,0.338073,-0.013184,0.941027,0.004458,-0.000000,-0.013000,0.000000
15,右膝前摆,255,16,14,0.052711,-0.063579,0.153294,0.898360,0.000000,0.439260,-0.005791,0.999913,0.011844,-0.439222,-0.013184,0.898282,0.799675,-0.000000,-0.013000,0.000000
16,右踝前摆,255,17,15,-0.000000,-0.065000,0.045500,1.000000,0.000000,-0.000000,-0.000000,0.999913,0.013184,0.000000,-0.013184,0.999913,-0.454775,-0.000000,-0.013000,0.000000
17,右踝侧摆,255,18,16,-0.000000,-0.065000,0.045500,1.000000,0.000000,-0.000000,-0.000000,1.000000,-0.000000,0.000000,0.000000,1.000000,0.013185,-0.000000,-0.013000,0.000000
18,右脚端,255,255,17,0.000000,-0.065000,0.000000,1.000000,0.000000,-0.000000,-0.000000,1.000000,-0.000000,0.000000,0.000000,1.000000,0.000000,-0.000000,-0.013000,0.000000
19,左髋前摆,255,20,0,0.000001,0.043956,0.300000,0.943056,0.000000,-0.332635,0.000000,1.000000,0.000000,0.332635,0.000000,0.943056,-0.339096,-0.000000,-0.013000,0.000000
20,左髋侧摆,255,21,19,0.000001,0.043956,0.300000,0.943056,-0.025860,-0.331628,0.000000,0.996973,-0.077744,0.332635,0.073317,0.940201,0.077823,-0.000000,-0.013000,0.000000
21,左髋旋转,255,22,20,0.036215,0.052445,0.197330,0.943410,-0.000000,-0.331628,-0.027329,0.996599,-0.077744,0.330500,0.082408,0.940201,-0.027415,-0.000000,-0.013000,0.000000
22,左膝前摆,255,23,21,0.051702,0.056076,0.153423,0.902424,-0.000000,0.430848,0.035505,0.996599,-0.074367,-0.429383,0.082408,0.899355,0.783461,-0.000000,-0.013000,0.000000
23,左踝前摆,255,24,22,-0.000000,0.065000,0.045500,1.000000,-0.000000,0.000000,0.000000,0.996599,-0.082408,0.000000,0.082408,0.996599,-0.445433,-0.000000,-0.013000,0.000000
24,左踝侧摆,255,25,23,-0.000000,0.065000,0.045500,1.000000,-0.000000,-0.000000,0.000000,1.000000,0.000000,0.000000,-0.000000,1.000000,-0.082501,-0.000000,-0.013000,0.000000
25,左脚端,255,255,24,-0.000000,0.065000,-0.000000,1.000000,-0.000000,-0.000000,0.000000,1.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,-0.000000,-0.013000,0.000000
0,主体,255,3,255,0.000013,-0.014075,0.350000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-0.000000,-0.026000,0.000000
1,头部,255,255,2,0.000013,-0.014075,0.555700,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-0.000000,-0.026000,0.000000
2,颈前摆,255,1,3,0.000013,-0.014075,0.497200,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-0.000000,-0.026000,0.000000
3,颈旋转,4,2,0,0.000013,-0.014075,0.454200,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-0.000000,-0.026000,0.000000
4,右大臂前摆,8,5,0,0.000013,-0.077275,0.454200,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-0.000000,-0.026000,0.000000
5,右大臂侧摆,255,6,4,0.000013,-0.126575,0.454200,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-0.000000,-0.026000,0.000000
6,右臂肘前摆,255,7,5,0.000013,-0.126575,0.345100,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-0.000000,-0.026000,0.000000
7,右手端,255,255,6,0.000013,-0.126575,0.205100,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-0.000000,-0.026000,0.000000
8,左大臂前摆,12,9,0,0.000013,0.049125,0.454200,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-0.000000,-0.026000,0.000000
9,左大臂侧摆,255,10,8,0.000013,0.098425,0.454200,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-0.000000,-0.026000,0.000000
10,左臂肘前摆,255,11,9,0.000013,0.098425,0.345100,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-0.000000,-0.026000,0.000000
11,左手端,255,255,10,0.000013,0.098425,0.205100,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-0.000000,-0.026000,0.000000
12,右髋前摆,19,13,0,0.000013,-0.066875,0.300000,0.941081,0.000000,-0.338180,0.000000,1.000000,0.000000,0.338180,0.000000,0.941081,-0.344982,-0.000000,-0.026000,0.000000
13,右髋侧摆,255,14,12,0.000013,-0.066875,0.300000,0.941081,-0.002345,-0.338172,0.000000,0.999976,-0.006934,0.338180,0.006525,0.941059,0.006934,-0.000000,-0.026000,0.000000
14,右髋旋转,255,15,13,0.036942,-0.066118,0.197236,0.941084,0.000000,-0.338172,-0.002492,0.999973,-0.006934,0.338163,0.007368,0.941059,-0.002492,-0.000000,-0.026000,0.000000
15,右膝前摆,255,16,14,0.052734,-0.065794,0.153289,0.898265,0.000000,0.439453,0.003238,0.999973,-0.006618,-0.439441,0.007368,0.898241,0.799964,-0.000000,-0.026000,0.000000
16,右踝前摆,255,17,15,0.000000,-0.065000,0.045500,1.000000,0.000000,-0.000000,-0.000000,0.999973,-0.007368,0.000000,0.007368,0.999973,-0.454990,-0.000000,-0.026000,0.000000
17,右踝侧摆,255,18,16,0.000000,-0.065000,0.045500,1.000000,0.000000,-0.000000,-0.000000,1.000000,-0.000000,0.000000,0.000000,1.000000,-0.007368,-0.000000,-0.026000,0.000000
18,右脚端,255,255,17,0.000000,-0.065000,0.000000,1.000000,0.000000,-0.000000,-0.000000,1.000000,-0.000000,0.000000,0.000000,1.000000,0.000000,-0.000000,-0.026000,0.000000
19,左髋前摆,255,20,0,0.000013,0.038725,0.300000,0.944203,0.000000,-0.329364,0.000000,1.000000,0.000000,0.329364,0.000000,0.944203,-0.335630,-0.000000,-0.026000,0.000000
20,左髋侧摆,255,21,19,0.000013,0.038725,0.300000,0.944203,-0.031956,-0.327810,0.000000,0.995282,-0.097022,0.329364,0.091609,0.939748,0.097175,-0.000000,-0.026000,0.000000
21,左髋旋转,255,22,20,0.035810,0.049320,0.197379,0.944744,-0.000000,-0.327810,-0.033665,0.994713,-0.097022,0.326077,0.102697,0.939748,-0.033831,-0.000000,-0.026000,0.000000
